date,index,ratio,odds,hcount,before,after,
2015/7/26,3,0.329,3.2,16,283425,93323,
2015/7/26,4,0.053,12.2,16,93323,4902,
2015/7/26,5,0.020,22.0,12,4902,99,
2015/8/2,1,0.303,2.4,15,5941265,1799036,
2015/8/2,2,0.161,4.7,15,1799036,289286,
2015/8/2,3,0.015,32.5,10,289286,4451,
2015/8/2,4,0.043,14.7,13,4451,190,
2015/8/2,5,0.195,3.7,14,190,37,
2015/8/9,1,0.243,3.7,10,5862390,1426808,
2015/8/9,2,0.146,5.7,15,1426808,208246,
2015/8/9,3,0.137,6.1,12,208246,28589,
2015/8/9,4,0.098,8.8,17,28589,2805,
2015/8/9,5,0.369,2.5,14,2805,1036,
2015/8/16,1,0.110,8.0,16,5966744,653476,
2015/8/16,2,0.088,10.9,18,653476,57620,
2015/8/16,3,0.242,4.1,13,57620,13927,
2015/8/16,4,0.048,10.9,8,13927,664,
2015/8/16,5,0.184,4.7,12,664,122,
2015/8/23,2,0.294,2.5,11,1263199,370959,
2015/8/23,1,0.201,4.1,8,6288151,1263199,
2015/8/23,3,0.021,11.1,15,1263199,26177,
2015/8/23,4,0.160,5.0,18,26177,4201,
2015/8/23,5,0.023,24.2,14,4201,98,
2015/8/30,1,0.388,1.9,14,5904247,2291692,
2015/8/30,2,0.074,11.2,17,2291692,170524,
2015/8/30,3,0.085,8.8,14,170524,14437,
2015/8/30,4,0.021,29.1,16,14437,300,
2015/8/30,5,0.207,3.6,18,300,62,
2015/9/6,1,0.072,12.0,16,5880721,424723,
2015/9/6,2,0.074,9.2,13,424723,31573,
2015/9/6,3,0.097,10.8,14,31573,3055,
2015/9/6,4,0.450,1.5,14,3055,1375,
2015/9/6,5,0.127,9.1,18,1375,174,
2015/9/13,1,0.107,8.1,15,5677049,606305,
2015/9/13,2,0.011,57.4,14,606305,6918,
2015/9/13,3,0.148,5.1,15,6918,1023,
2015/9/13,4,0.022,48.0,16,1023,22,
2015/9/13,5,0.045,62.7,16,22,1,
2015/9/20,1,0.153,6.8,14,5114228,782842,
